header,class,mechanism,group
gi|315456453|emb|FN645444.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|CTX-M-44|D37830|91-966|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|537366551|gb|KF305673.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
MLS|NC_023287.1.18156494|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA
Elf|CP000675.2|gene385|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
Bla|LEN-15|AF452105|1-840|840|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
@phgb|NC_002516.2|4119269-4120373|ARO:3003692|mexJ|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXJ,Multi-drug resistance,Multi-drug efflux pumps,MEXJ
@phgb|EF504260|1994-3155|ARO:3001818|ACC-4|betalactams|Class_C_betalactamases|ACC,betalactams,Class C betalactamases,ACC
Bla|B-14|JN635697|973-1719|747|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
ACou|NC_003112.2.903425|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
@pvgb|NC_002952|590830-594382|ARO:3003285|Staphylococcus|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
AGly|RmtBAB103506|1410-2165|756|Aminoglycosides|16S_rRNA_methyltransferases|RMTB,Aminoglycosides,16S rRNA methyltransferases,RMTB
Bla|SHV-110|HQ877614|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|QnrB14|EU273757|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Sul|AE016830.1|gene3181|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
@phgb|X53650|320-1235|ARO:3003565|r39|betalactams|Class_D_betalactamases|R39,betalactams,Class D betalactamases,R39
AGly|AF047556.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
AGly|X13543.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
Tet|tetM_5_U58985|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
Bla|OXA-160|GU199038|1196-2023|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|451810087|dbj|AB744718.1|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
Flq|NC_011595.7058445|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
MLS|erm42_2_AB601890|MLS|23S_rRNA_methyltransferases|ERM42,MLS,23S rRNA methyltransferases,ERM42
Phe|CatA7|M64281|208-855|648|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
gi|30023946|gb|AF208529.2|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Flq|QnrB13|EU273756|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|OXA-250|HE963771|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|301344542|gb|HM565917.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
Rif|NC_003197.1.1255679|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
gi|168824144|gb|EU515251.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|AF313472.2|gene16|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
Gly|VanXY-C_3_EU151752|Glycopeptides|VanC-type_resistance_protein|VANXYC,Glycopeptides,VanC-type resistance protein,VANXYC
Bla|SHV-11_4_EF035558|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|171188393|gb|EU541448.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@phgb|NC_003112|1791966-1795170|ARO:3000811|mtrD|Multi-drug_resistance|Multi-drug_efflux_pumps|MTRD,Multi-drug resistance,Multi-drug efflux pumps,MTRD
AGly|Aph6-I|X01702|485-1285|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
1267|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|VanA-D_1_AB242319|Glycopeptides|VanD-type_resistance_protein|VAND,Glycopeptides,VanD-type resistance protein,VAND
63|DQ516954.1|DQ516954|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA,Multi-drug resistance,Multi-drug efflux pumps,MSBA
gi|61661221|gb|AY949202.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
616|HQ875016.1|HQ875016|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|OXA-347|JN086160|1583-2407|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|AM982520|5548-6424|ARO:3001937|CTX-M-76|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|SHV-1_10_EF035567|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1326|S71932.1|S71932|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|56554772|gb|AY847148.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|VanH-Pt2|AY926880|2771-3739|969|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
AGly|AadA3|AF047479|1296-2087|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
gi|50347098|gb|AY661885.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
283|AF121000.1|AF121000|MLS|23S_rRNA_methyltransferases|MYRA,MLS,23S rRNA methyltransferases,MYRA
Bla|CTX-M-117|JN227085|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|CTX-M-58_1_EF210159|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|698174207|gb|KM087858.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Bla|OXA-19|FJ906752|1219-2019|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Rif|CP001918.1|gene250|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|SHV-155|JX121122|1-858|858|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|KF986258.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|KF732714|0-657|ARO:3002798|QnrS9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS
Bla|AF518567.2|gene4|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Tet|TetQ|Z21523|362-2287|1926|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
