Set	Name	Size	Length	Annotation
groupI	mmarc_Aminocoumarins20	4	2034	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	GYRB
groupI	mmarc_Aminoglycosides100	2	888	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupI	mmarc_Aminoglycosides101	4	780	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupI	mmarc_Aminoglycosides102	8	752	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT2-DPRIME
groupI	mmarc_Aminoglycosides103	2	843	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH6
groupI	mmarc_Aminoglycosides104	4	816	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME|APH3-DPRIME
groupI	mmarc_Aminoglycosides105	3	575	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides106	2	996	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH9
groupI	mmarc_Aminoglycosides107	6	861	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupI	mmarc_Aminoglycosides108	3	909	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupI	mmarc_Aminoglycosides109	2	557	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides110	2	849	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupI	mmarc_Aminoglycosides111	3	396	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides112	4	593	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides113	1	441	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides114	8	804	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-DPRIME
groupI	mmarc_Aminoglycosides115	6	441	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides116	3	1478	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides117	36	624	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides118	4	837	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH6
groupI	mmarc_Aminoglycosides119	3	807	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupI	mmarc_Aminoglycosides120	2	848	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupI	mmarc_Aminoglycosides121	42	1070	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupI	mmarc_Aminoglycosides122	2	903	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupI	mmarc_Aminoglycosides123	2	555	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides124	2	906	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH2-DPRIME
groupI	mmarc_Aminoglycosides125	2	744	Aminoglycosides	16S rRNA methyltransferases	RMTD
groupI	mmarc_Aminoglycosides126	3	826	Aminoglycosides	16S rRNA methyltransferases	RMTB
groupI	mmarc_Aminoglycosides127	2	958	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-DPRIME
groupI	mmarc_Aminoglycosides128	2	543	Aminoglycosides	Aminoglycoside N-acetyltransferases	SAT
groupI	mmarc_Aminoglycosides129	2	768	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT9
groupI	mmarc_Aminoglycosides130	3	598	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides131	4	534	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupI	mmarc_Aminoglycosides132	4	789	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupI	mmarc_Aminoglycosides133	2	841	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupI	mmarc_Aminoglycosides134	2	438	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides93	2	558	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides94	3	531	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3-PRIME
groupI	mmarc_Aminoglycosides95	9	855	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupI	mmarc_Aminoglycosides96	4	555	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides97	2	438	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupI	mmarc_Aminoglycosides98	2	900	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH2-DPRIME
groupI	mmarc_Aminoglycosides99	2	924	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH6
groupI	mmarc_Bacitracin5	2	822	Bacitracin	Undecaprenyl pyrophosphate phosphatase	BACA
groupI	mmarc_betalactams120	9	921	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams121	13	823	betalactams	Class B betalactamases	CFIA
groupI	mmarc_betalactams122	3	847	betalactams	Class A betalactamases	BLAZ
groupI	mmarc_betalactams123	2	1191	betalactams	Class C betalactamases	ADC
groupI	mmarc_betalactams124	4	1131	betalactams	Mutant porin proteins	OMP36
groupI	mmarc_betalactams125	2	918	betalactams	Class A betalactamases	ROB
groupI	mmarc_betalactams126	2	1878	betalactams	Class A betalactamases	CARB
groupI	mmarc_betalactams127	9	966	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams128	15	1286	betalactams	Class C betalactamases	FOX
groupI	mmarc_betalactams129	14	813	betalactams	Class B betalactamases	NDM
groupI	mmarc_betalactams130	17	879	betalactams	Class B betalactamases	GOB
groupI	mmarc_betalactams131	57	1552	betalactams	Class B betalactamases	IMP
groupI	mmarc_betalactams132	7	1211	betalactams	Class A betalactamases	SME
groupI	mmarc_betalactams133	22	1584	betalactams	Class C betalactamases	CMY|AQU|MOX
groupI	mmarc_betalactams134	3	2010	betalactams	Penicillin binding protein	MECA
groupI	mmarc_betalactams135	9	851	betalactams	Class B betalactamases	IND
groupI	mmarc_betalactams136	2	887	betalactams	Class A betalactamases	BLAA
groupI	mmarc_betalactams137	4	816	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams138	28	805	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams139	139	941	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams140	14	768	betalactams	Class B betalactamases	CPHA
groupI	mmarc_betalactams141	17	750	betalactams	Class B betalactamases	BLAB
groupI	mmarc_betalactams142	3	888	betalactams	Class A betalactamases	RAHN
groupI	mmarc_betalactams143	2	996	betalactams	Class A betalactamases	AER
groupI	mmarc_betalactams144	25	1181	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams145	2	783	betalactams	Class A betalactamases|Class D betalactamases	NPS|LCR1
groupI	mmarc_betalactams146	16	1141	betalactams	Class A betalactamases	CARB
groupI	mmarc_betalactams147	2	747	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams148	4	810	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams149	12	883	betalactams	Class B betalactamases	IND
groupI	mmarc_betalactams150	5	820	betalactams	Class B betalactamases	IND
groupI	mmarc_betalactams151	2	901	betalactams	Class A betalactamases	VEB
groupI	mmarc_betalactams152	27	987	betalactams	Class A betalactamases	KPC
groupI	mmarc_betalactams153	46	1021	betalactams	Class B betalactamases	VIM
groupI	mmarc_betalactams154	6	2011	betalactams	Penicillin binding protein	MECC|MECA
groupI	mmarc_betalactams155	7	879	betalactams	Class A betalactamases	IMI|NMCA
groupI	mmarc_betalactams156	107	1685	betalactams	Class A betalactamases	CTX
groupI	mmarc_betalactams157	6	846	betalactams	Class A betalactamases	BLAZ
groupI	mmarc_betalactams158	9	915	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams159	38	939	betalactams	Class A betalactamases	OXY
groupI	mmarc_betalactams160	5	825	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams161	35	952	betalactams	Class A betalactamases	CTX
groupI	mmarc_betalactams162	23	822	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams163	63	1261	betalactams	Class C betalactamases	ACT|MIR
groupI	mmarc_betalactams164	2	888	betalactams	Class B betalactamases	L1
groupI	mmarc_betalactams165	17	1023	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams166	2	1998	betalactams	Penicillin binding protein	PBP2
groupI	mmarc_betalactams167	2	840	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams168	2	870	betalactams	Class D betalactamases	OXA
