Model_Name	Members
mmarc_Tetracyclines1_blast_augmented	107|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET43,107|unknown_id|unknown_name,gi|636676223|gb|KJ695120.1|KJ695120|singleton_addition
mmarc_Multi-drug_resistance1_blast_augmented	gi|922795094|gb|CP011305.1|CP011305|singleton_addition,gi|922683939|gb|CP011306.1|CP011306|singleton_addition,gi|190010013|emb|AM743169.1|AM743169|singleton_addition,@phgb|AF173226|351-1041|ARO:3003066|smeR|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,gi|674291045|gb|CP008838.1|CP008838|singleton_addition
mmarc_MLS1_blast_augmented	gi|747147039|gb|CP007726.1|CP007726|singleton_addition,gi|870665722|gb|CP012028.1|CP012028|singleton_addition,gi|870663310|gb|CP012027.1|CP012027|singleton_addition,gi|193932879|gb|CP001050.1|CP001050|singleton_addition,gi|59717368|gb|AE004969.1|AE004969|singleton_addition,gi|389606021|emb|FR845715.1|FR845715|singleton_addition,gi|730576903|gb|CP009421.1|CP009421|singleton_addition,gi|730574337|gb|CP009420.1|CP009420|singleton_addition,gi|120865607|emb|AM421808.1|AM421808|singleton_addition,gi|837359514|gb|CP007667.1|CP007667|singleton_addition,gi|744797373|gb|CP006869.1|CP006869|singleton_addition,gi|325199235|gb|CP002420.1|CP002420|singleton_addition,gi|66731897|gb|AE002098.2|AE002098|singleton_addition,gi|537637238|gb|CP003909.1|CP003909|singleton_addition,gi|325205106|gb|CP002423.1|CP002423|singleton_addition,gi|325197306|gb|CP002419.1|CP002419|singleton_addition,gi|313004821|emb|FN995097.1|FN995097|singleton_addition,gi|730569312|gb|CP009418.1|CP009418|singleton_addition,gi|161594571|gb|CP000381.1|CP000381|singleton_addition,gi|308388224|gb|CP001561.1|CP001561|singleton_addition,gi|325207054|gb|CP002424.1|CP002424|singleton_addition,gi|610425456|gb|CP007524.1|CP007524|singleton_addition,gi|319409534|emb|FR774048.1|FR774048|singleton_addition,gi|870660842|gb|CP012026.1|CP012026|singleton_addition,gi|837361516|gb|CP007668.1|CP007668|singleton_addition,gi|261391559|emb|FM999788.1|FM999788|singleton_addition,gi|730579451|gb|CP009422.1|CP009422|singleton_addition,gi|730571813|gb|CP009419.1|CP009419|singleton_addition,gi|30407145|emb|AL157959.1|AL157959|singleton_addition,gi|254667570|emb|AM889136.1|AM889136|singleton_addition,gi|325203134|gb|CP002422.1|CP002422|singleton_addition,gi|325201197|gb|CP002421.1|CP002421|singleton_addition,44|AY768532.1|AY768532|MLS|Macrolide_resistance_efflux_pumps|MACB,44|AY768532.1|AY768532
mmarc_Sulfonamides1_blast_augmented	Sul|NC_008702.1.4608834|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sul|NC_008702.1.4608834,gi|119668705|emb|AM406670.1|AM406670|singleton_addition
mmarc_Multi-drug_resistance2_blast_augmented	gi|675820666|emb|LM997228.1|LM997228|singleton_addition,gi|675820477|emb|LM997039.1|LM997039|singleton_addition,gi|675820088|emb|LM996651.1|LM996651|singleton_addition,gi|664693170|gb|CP005998.1|CP005998|singleton_addition,gi|544200787|gb|CP006584.1|CP006584|singleton_addition,gi|383403426|gb|CP002967.1|CP002967|singleton_addition,gi|383390031|gb|CP002970.1|CP002970|singleton_addition,gi|323376397|gb|CP002516.1|CP002516|singleton_addition,gi|315059226|gb|CP002185.1|CP002185|singleton_addition,gi|257757386|dbj|AP010958.1|AP010958|singleton_addition,gi|675817430|emb|LM997321.1|LM997321|singleton_addition,gi|216530|dbj|D14054.1|ECOBAESRD14054|singleton_addition,gi|675820434|emb|LM996996.1|LM996996|singleton_addition,gi|628026570|gb|CP007133.1|CP007133|singleton_addition,gi|573932891|gb|CP006262.1|CP006262|singleton_addition,gi|187427012|gb|CP001063.1|CP001063|singleton_addition,gi|675819225|emb|LM995788.1|LM995788|singleton_addition,gi|595593103|gb|CP007391.1|CP007391|singleton_addition,gi|595588540|gb|CP007390.1|CP007390|singleton_addition,gi|595583568|gb|CP007265.1|CP007265|singleton_addition,gi|834763093|gb|CP006636.1|CP006636|singleton_addition,gi|695936535|gb|CP009578.1|CP009578|singleton_addition,gi|675819931|emb|LM996494.1|LM996494|singleton_addition,gi|944404559|gb|CP013029.1|CP013029|singleton_addition,@phgb|AP009048|2165012-2166416|ARO:3000829|baeS|Multi-drug_resistance|MDR_regulator|BAES,gi|827428600|gb|CP011511.1|CP011511|singleton_addition
mmarc_Trimethoprim1_blast_augmented	@phgb|KF976462|111558-112122|ARO:3003011|dfrA10|Trimethoprim|Dihydrofolate_reductase|DFRA,gi|686483886|gb|KM111266.1|KM111266|singleton_addition,gi|596353652|gb|KF976462.2|KF976462|singleton_addition,gi|169147133|emb|CU459141.1|CU459141|singleton_addition,gi|695210403|ref|NG_035939.1|NG_035939|singleton_addition,gi|695208251|ref|NG_035505.1|NG_035505|singleton_addition,gi|16151138|gb|AY049746.1|AY049746|singleton_addition,gi|85813394|emb|CT025832.1|CT025832|singleton_addition
mmarc_Aminoglycosides1_blast_augmented	@phgb|NC_023287|60996-61860|ARO:3002626|ANT6-Ia|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,gi|829569887|gb|KJ797025.1|KJ797025|singleton_addition,gi|984737891|gb|CP013476.1|CP013476|singleton_addition
mmarc_Phenicol1_blast_augmented	663|unknown_id|unknown_name|Phenicol|Chloramphenicol_acetyltransferases|CATB,663|unknown_id|unknown_name,gi|958108507|emb|LN824138.1|LN824138|singleton_addition,gi|958102843|emb|LN824133.1|LN824133|singleton_addition,gi|957647579|dbj|AP017302.1|AP017302|singleton_addition,gi|550602065|gb|KF295829.1|KF295829|singleton_addition,gi|443299869|gb|JQ955744.1|JQ955744|singleton_addition,gi|695214903|ref|NG_036913.1|NG_036913|singleton_addition,gi|493665175|dbj|AP012055.1|AP012055|singleton_addition,gi|695226706|ref|NG_041561.1|NG_041561|singleton_addition
mmarc_Phenicol2_blast_augmented	gi|717496505|gb|KJ910943.1|KJ910943|singleton_addition,gi|142855988|gb|CP000645.1|CP000645|singleton_addition,@phgb|M35190|0-624|ARO:3002670|cat|Phenicol|Phenicol_efflux_pumps|CAT,gi|9294955|gb|AF191638.1|AF191638AF191638|singleton_addition,gi|717496505|gb|KJ910943.1|KJ910943|singleton_addition,gi|555439526|gb|KF378613.1|KF378613|singleton_addition,gi|874572728|emb|LN852704.1|LN852704|singleton_addition
mmarc_MLS2_blast_augmented	721|AB014481.1|AB014481|MLS|23S_rRNA_methyltransferases|ERMB,721|AB014481.1|AB014481,gi|752909995|emb|HF677199.1|HF677199|singleton_addition,gi|507414737|emb|HE805623.2|HE805623|singleton_addition,gi|384229115|gb|CP003045.1|CP003045|singleton_addition,gi|695224128|ref|NG_041021.1|NG_041021|singleton_addition,gi|404503268|emb|HE862394.1|HE862394|singleton_addition,gi|148726|gb|M64090.1|G63ERMGTM64090|singleton_addition,gi|598096313|gb|KC991136.1|KC991136|singleton_addition,gi|576941983|gb|KC790462.1|KC790462|singleton_addition,gi|11527992|gb|AF310974.1|AF310974|singleton_addition,gi|968578997|gb|CP013689.1|CP013689|singleton_addition,gi|961575529|gb|CP013627.1|CP013627|singleton_addition,gi|760459632|gb|KM576795.1|KM576795|singleton_addition,gi|663089991|gb|KJ778678.1|KJ778678|singleton_addition,gi|695224142|ref|NG_041022.1|NG_041022|singleton_addition,gi|695224112|ref|NG_041020.1|NG_041020|singleton_addition,gi|448100274|gb|EU192194.2|EU192194|singleton_addition,gi|344221780|gb|JF308631.1|JF308631|singleton_addition,gi|344221775|gb|JF308630.1|JF308630|singleton_addition,gi|344221769|gb|JF308629.1|JF308629|singleton_addition,gi|296777654|gb|GU951538.1|GU951538|singleton_addition,gi|695220792|ref|NG_039567.1|NG_039567|singleton_addition,gi|62467672|gb|AY894138.1|AY894138|singleton_addition
